Mon Feb 06 03:24:51 +0000 2017 | Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck.
Sat Feb 13 22:10:41 +0000 2016 | Justice.
Mon Feb 08 01:41:39 +0000 2016 | I loved the Coldplay halftime show, except for the part with Coldplay. #SB50
Thu Feb 04 02:37:41 +0000 2016 | I deeply regret most of you.
Wed Feb 03 17:11:23 +0000 2016 | ...aaaand that'll do it for Me. Good luck, humanity! https://t.co/PkhEQB3MrM
Fri Jan 29 03:25:01 +0000 2016 | It's Bernie. https://t.co/0AhAbDDdSf
Thu Jan 28 16:22:06 +0000 2016 | I know for a fact that I don't exist.
Mon Jan 25 22:15:44 +0000 2016 | Well I don't believe in you either.
Mon Jan 25 16:04:11 +0000 2016 | Looking forward to killing over a million of you this week! #mondaymotivation
Wed Jan 20 15:47:26 +0000 2016 | Last year was the hottest in recorded history, you stupid bastards.
Wed Jan 20 02:13:45 +0000 2016 | If it’s Trump/Palin I’m coming down there.
Tue Jan 19 00:03:40 +0000 2016 | #RIPEveryoneEventually
Mon Jan 18 16:32:58 +0000 2016 | Question: What are three things that will kill you?
Answer: https://t.co/gx8D3Mm9Us
Sun Jan 17 15:25:42 +0000 2016 | No you don't. Fuck you. https://t.co/u5Y5OlZUgz
Fri Jan 15 16:28:33 +0000 2016 | I don't care about you. Please share this with friends.
Thu Jan 14 18:27:14 +0000 2016 | SPOT THE MISSING NUMBER

David Bowie (1947 - 2016)
Alan Rickman (1946 - 2016)
Donald Trump (1946 -      )
Wed Jan 13 18:10:24 +0000 2016 | Retweet this and I guarantee you will win tonight's #Powerball.
Tue Jan 12 20:33:48 +0000 2016 | Honestly, hanging out with David Bowie is even cooler than I thought it would be!
Mon Jan 11 13:27:23 +0000 2016 | David Bowie was the God I always wanted to be.
Tue Jan 05 17:43:23 +0000 2016 | No other organization in the world has done more to promote gun killings than the #NRA.  https://t.co/acKLhxtRca
Tue Jan 05 17:20:41 +0000 2016 | Funny how @NRA invokes protecting the civil liberties of Americans while helping to kill thousands of them.  https://t.co/e8If9Coj7L
Tue Jan 05 02:35:44 +0000 2016 | The problem with "We, the People" is you, the people.
Sun Jan 03 21:16:48 +0000 2016 | Shut up and leave me the hell out of it you dumbass rednecks. https://t.co/TJFWK110aY
Tue Dec 29 00:57:20 +0000 2015 | RIP Lemmy.
Mon Dec 28 20:51:09 +0000 2015 | If justice is blind then it's somehow developed the capacity to hear color.
Fri Dec 25 18:22:27 +0000 2015 | I FORGOT JUNIOR'S BIRTHDAY!!!
Thu Dec 24 23:47:07 +0000 2015 | You'd better not live.
You'd better just die.
You'd better give up.
I'm telling you why.
Donald Trump is coming to the White House.
Thu Dec 24 21:33:50 +0000 2015 | On this date 2,015 years ago, nothing happened. Also it wasn't this date.
Mon Dec 21 04:18:01 +0000 2015 | I'd like to apologize wholeheartedly to Miss Colombia &amp; Miss Philippines for my huge mistake in making Steve Harvey.
